Only in UN Dataset,Only in Happiness Dataset
American Samoa,Congo (Brazzaville)
Andorra,Congo (Kinshasa)
Angola,Ivory Coast
Anguilla,Kosovo
Antigua and Barbuda,Laos
Aruba,Moldova
Azerbaijan,North Macedonia
Bahamas,Taiwan Province of China
Barbados,Tanzania
Belarus,
Belize,
Bermuda,
Bhutan,
"Bonaire, Sint Eustatius and Saba",
British Virgin Islands,
Brunei Darussalam,
Burundi,
Cabo Verde,
Cayman Islands,
Central African Republic,
Channel Islands,
"China, Macao SAR",
Congo,
Cook Islands,
Cuba,
Democratic People's Republic of Korea,
Democratic Republic of the Congo,
Djibouti,
Dominica,
Equatorial Guinea,
Eritrea,
Falkland Islands (Malvinas),
Faroe Islands,
Fiji,
French Guiana,
French Polynesia,
Gibraltar,
Greenland,
Grenada,
Guadeloupe,
Guam,
Guinea-Bissau,
Guyana,
Haiti,
Holy See,
Isle of Man,
Kiribati,
Kuwait,
Lao People's Democratic Republic,
Lesotho,
Libya,
Liechtenstein,
Maldives,
Marshall Islands,
Martinique,
Mayotte,
Micronesia (Federated States of),
Monaco,
Montserrat,
Nauru,
New Caledonia,
Niue,
Northern Mariana Islands,
Oman,
Palau,
Papua New Guinea,
Puerto Rico,
Qatar,
Republic of Moldova,
Rwanda,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Seychelles,
Sint Maarten (Dutch part),
Solomon Islands,
Somalia,
South Sudan,
Sudan,
Suriname,
Swaziland,
Syrian Arab Republic,
The former Yugoslav Republic of Macedonia,
Timor-Leste,
Tokelau,
Tonga,
Trinidad and Tobago,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
United Republic of Tanzania,
United States Virgin Islands,
Vanuatu,
Wallis and Futuna Islands,
Western Sahara,
Yemen,
